Kuukausi;Lampotila;Allergialaakemyynti;Jaatelomyynti;S24_kirosanat;S24_allergia;S24_ihottuma;S24_kajaani;S24_kesa;S24_uimahousut
2014/02;- 4.5;0,16;3;2836;67;12;3;984;3
2014/03;- 5.0;2,4;2,7;3169;53;21;2;1259;0
2014/04;4.5;8,84;0,7;3132;73;16;4;1143;1
2014/05;10.3;12,04;4,3;3289;115;16;4;1742;6
2014/06;14.4;59,96;11,5;3915;92;26;2;2483;4
2014/07;19.2;48,64;19,8;3963;69;20;9;2334;0
2014/08;16.7;31,36;8,5;4066;111;24;5;2132;0
2014/09;13.1;9,88;7,4;4770;143;29;2;1576;2
2014/10;8.3;1,56;2,6;6634;186;45;8;2114;0
2014/11;4.6;0,32;1,4;9903;169;54;19;2644;1
2014/12;- 2.2;3,32;2,3;11130;166;43;21;2702;4
